policy,test,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct,stall,cache_stall,hazard_stall,i_cold_miss,i_conflict_miss,i_capacity_miss,d_cold_miss,d_conflict_miss,d_capacity_miss,speedup_vs_nocache
wb_nowa,rv32ui-p-sw,0,943,553,94.73,97.06,0,384,0,28,3,0,1,1,0,7.582185
wb_nowa,rv32ui-p-xor,0,877,526,94.78,0.00,0,348,0,26,3,0,0,0,0,6.976055
wb_nowa,rv32ui-p-xori,0,467,246,93.26,0.00,0,216,0,15,3,0,0,0,0,6.293362
wt_wa,rv32ui-p-add,0,866,504,94.38,0.00,0,360,0,27,3,0,0,0,0,6.785219
wt_wa,rv32ui-p-addi,0,535,281,93.05,0.00,0,252,0,18,3,0,0,0,0,6.213084
wt_wa,rv32ui-p-and,0,875,524,94.77,0.00,0,348,0,26,3,0,0,0,0,6.966857
wt_wa,rv32ui-p-andi,0,447,237,93.41,0.00,0,204,0,14,3,0,0,0,0,6.353468
wt_wa,rv32ui-p-auipc,0,248,97,89.47,0.00,0,144,0,9,3,0,0,0,0,5.064516
wt_wa,rv32ui-p-beq,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0,6.759934
wt_wa,rv32ui-p-bge,0,653,348,94.22,0.00,0,276,0,20,3,0,0,0,0,6.707504
wt_wa,rv32ui-p-bgeu,0,689,373,94.33,0.00,0,288,0,21,3,0,0,0,0,6.756168
wt_wa,rv32ui-p-blt,0,604,330,94.34,0.00,0,252,0,18,3,0,0,0,0,6.759934
wt_wa,rv32ui-p-bltu,0,640,355,94.44,0.00,0,264,0,19,3,0,0,0,0,6.809375
wt_wa,rv32ui-p-bne,0,617,330,94.10,0.00,0,264,0,19,3,0,0,0,0,6.653160
wt_wa,rv32ui-p-fence_i,0,677,335,96.03,0.00,0,240,0,12,6,0,1,5,0,7.451994
wt_wa,rv32ui-p-jal,0,245,94,89.19,0.00,0,144,0,9,3,0,0,0,0,4.991837
wt_wa,rv32ui-p-jalr,0,337,154,92.27,0.00,0,168,0,11,3,0,0,0,0,5.913947
wt_wa,rv32ui-p-lb,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0,6.705455
wt_wa,rv32ui-p-lbu,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0,6.705455
wt_wa,rv32ui-p-ld_st,0,1928,1151,93.31,99.48,149,828,149,65,3,0,1,1,0,7.882780
